first_login,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17
17,663,472,324,251,205,187,167,146,145,145,136,131,132,143,116,91,82,77
18,596,362,261,203,168,147,144,127,113,122,106,118,127,110,97,85,67,4
19,427,284,173,153,114,95,91,81,95,82,68,65,63,42,51,49,2,0
20,358,223,165,121,91,72,63,67,63,65,67,41,40,33,40,0,0,0
21,317,187,131,91,74,63,75,72,58,48,45,39,35,28,2,0,0,0
22,326,224,150,107,87,73,63,60,55,48,41,39,31,1,0,0,0,0
23,328,219,138,101,90,79,69,61,54,47,35,30,0,0,0,0,0,0
24,339,205,143,102,81,63,65,61,38,39,29,0,0,0,0,0,0,0
25,305,218,139,101,75,63,50,46,38,35,2,0,0,0,0,0,0,0
26,288,181,114,83,73,55,47,43,29,0,0,0,0,0,0,0,0,0
27,292,199,121,106,68,53,40,36,1,0,0,0,0,0,0,0,0,0
28,274,194,114,69,46,30,28,3,0,0,0,0,0,0,0,0,0,0
29,270,186,102,65,47,40,1,0,0,0,0,0,0,0,0,0,0,0
30,294,202,121,78,53,3,0,0,0,0,0,0,0,0,0,0,0,0
31,215,145,76,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,267,188,94,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,286,202,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,279,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
